Slno,Videotitles,Published_date,Views,Likes,Comments,Month
282,Intermediate SQL Tutorial | Aliasing,04-06-2020,145814,3932,100,Jun
283,Data Analyst Q&A LIVE,31-05-2020,10560,258,54,May
284,Data Analyst Interviews | Salary Negotiation,27-05-2020,26043,827,27,May
285,Data Analyst Interview Questions | What To Say vs What NOT To Say,20-05-2020,72705,1758,35,May
286,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,13-05-2020,123925,3232,111,May
287,Data Analyst Interview Questions | Phone + In-Person Interview Questions,06-05-2020,80344,1622,62,May
288,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),23-04-2020,15194,521,52,Apr
289,Intermediate SQL Tutorial | Updating/Deleting Data,16-04-2020,150458,3403,141,Apr
290,Intermediate SQL Tutorial | Having Clause,09-04-2020,176728,4619,83,Apr
291,Intermediate SQL Tutorial | Case Statement | Use Cases,02-04-2020,288440,7076,428,Apr
292,Intermediate SQL Tutorial | Unions | Union Operator,26-03-2020,255155,4990,163,Mar
293,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,19-03-2020,518668,8883,470,Mar
294,Day in the Life of a Data Analyst | Fortune 500 Edition,11-03-2020,125518,2580,267,Mar
295,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,03-03-2020,327708,8112,234,Mar
296,SQL Basics Tutorial For Beginners | Where Statement | 3/4,02-03-2020,345793,6054,156,Mar
297,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,01-03-2020,503338,7313,302,Mar
298,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,01-03-2020,1393605,18076,2044,Mar
299,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,26-02-2020,25865,850,162,Feb
300,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,24-02-2020,25586,543,39,Feb
301,Data Analyst Salary in 2020,19-02-2020,8164,156,25,Feb
302,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,14-02-2020,14311,614,39,Feb
303,Switching Careers to Become a Data Analyst | How I Made the Switch,11-02-2020,49202,1789,249,Feb
304,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,06-02-2020,120609,3515,104,Feb
305,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,30-01-2020,73202,1685,64,Jan
306,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,25-01-2020,15255,411,22,Jan
307,Data Analyst Salary | 100k with No Experience,23-01-2020,64737,2196,229,Jan
308,Truth About Big Companies | Told by a Fortune 500 Data Analyst,21-01-2020,8983,328,19,Jan
309,Top 3 Data Analyst Skills in 2020,17-01-2020,29159,1407,140,Jan
